Person Id,Username,First Name,Last Name,Business Email Information Email Address,Gender,Employee Grade,Company Code,Company Name,Zone,Region Code,Region Name,Sub Region Code,Sub Region Name,City Code,City Name,Country/Region,Legal Entity Country,Function Code,Function Name,Position,Position Entry Date,Position Title,Position Code,Parent Position,Employee Level,HRBP Name,HRBP Email
1001,apandey,Amit,Pandey,amit.pandey@xyzindustries.in,Male,EXECUTIVE,XYZ,XYZ Industries,NORTH,N01,North Region,SR03,Delhi NCR,DEL,Delhi,India,India,FN04,HUMAN RESOURCES,POS1001,2023-03-31,EXECUTIVE - HUMAN RESOURCES,P1001,P1006,L1-LEVEL 1 (OFF TO AM),Neha Iyer,neha.iyer@xyzindustries.in
1002,akhan,Amit,Pandey,amit.pandey@xyzindustries.in,Male,SENIOR MANAGER,XYZ,XYZ Industries,WEST & EAST,W01,West & East Region,SR02,Mumbai Metro,MUM,Mumbai,India,India,FN01,GENERAL MANAGEMENT,POS1002,2022-03-23,SENIOR MANAGER - GENERAL MANAGEMENT,P1002,P1006,L2-LEVEL 2 (MGR TO DGM),Raj Malhotra,raj.malhotra@xyzindustries.in
1003,hchatterjee,Amit,Pandey,amit.pandey@xyzindustries.in,Male,SENIOR OFFICER,XYZ,XYZ Industries,NORTH,N01,North Region,SR03,Delhi NCR,DEL,Delhi,India,India,FN06,STRATEGY,POS1003,2017-08-19,SENIOR OFFICER - STRATEGY,P1003,P1004,L1-LEVEL 1 (OFF TO AM),Priya Nair,priya.nair@xyzindustries.in
1004,nsaxena,Amit,Pandey,amit.pandey@xyzindustries.in,Male,MANAGER,XYZ,XYZ Industries,NORTH,N01,North Region,SR03,Delhi NCR,DEL,Delhi,India,India,FN04,HUMAN RESOURCES,POS1004,2017-09-18,MANAGER - HUMAN RESOURCES,P1004,P1009,L2-LEVEL 2 (MGR TO DGM),Sunil Desai,sunil.desai@xyzindustries.in
1005,ppatel,Amit,Pandey,amit.pandey@xyzindustries.in,Female,ASSISTANT MANAGER,XYZ,XYZ Industries,MUMBAI,M01,Mumbai Region,SR02,Mumbai Metro,MUM,Mumbai,India,India,FN13,ADMINISTRATION,POS1005,2022-05-20,ASSISTANT MANAGER - ADMINISTRATION,P1005,P1004,L2-LEVEL 2 (MGR TO DGM),Neha Iyer,neha.iyer@xyzindustries.in
1006,adas,Amit,Pandey,amit.pandey@xyzindustries.in,Female,DEPUTY MANAGER,XYZ,XYZ Industries,SOUTH,S01,South Region,SR01,Bangalore Cluster,BLR,Bangalore,India,India,FN10,BUSINESS DEVELOPMENT,POS1006,2015-03-23,DEPUTY MANAGER - BUSINESS DEVELOPMENT,P1006,P1001,L1-LEVEL 1 (OFF TO AM),Neha Iyer,neha.iyer@xyzindustries.in
1007,mnair,Amit,Pandey,amit.pandey@xyzindustries.in,Female,SENIOR EXECUTIVE,XYZ,XYZ Industries,NORTH,N01,North Region,SR03,Delhi NCR,DEL,Delhi,India,India,FN07,DESIGN STRATEGY,POS1007,2011-08-08,SENIOR EXECUTIVE - DESIGN STRATEGY,P1007,P1009,L1-LEVEL 1 (OFF TO AM),Sunil Desai,sunil.desai@xyzindustries.in
1008,apandey2,Amit,Pandey,amit.pandey@xyzindustries.in,Male,SENIOR MANAGER,XYZ,XYZ Industries,WEST & EAST,W01,West & East Region,SR02,Mumbai Metro,MUM,Mumbai,India,India,FN09,LIAISON,POS1008,2017-04-10,SENIOR MANAGER - LIAISON,P1008,P1000,L2-LEVEL 2 (MGR TO DGM),Raj Malhotra,raj.malhotra@xyzindustries.in
1009,npatel,Amit,Pandey,amit.pandey@xyzindustries.in,Male,EXECUTIVE,XYZ,XYZ Industries,NORTH,N01,North Region,SR06,Pune Cluster,PUN,Pune,India,India,FN07,DESIGN STRATEGY,POS1009,2014-10-08,EXECUTIVE - DESIGN STRATEGY,P1009,P1010,L1-LEVEL 1 (OFF TO AM),Sunil Desai,sunil.desai@xyzindustries.in
1010,ppillai,Amit,Pandey,amit.pandey@xyzindustries.in,Female,EXECUTIVE,XYZ,XYZ Industries,MUMBAI,M01,Mumbai Region,SR02,Mumbai Metro,MUM,Mumbai,India,India,FN08,LEGAL & SECRETARIAL,POS1010,2023-02-10,EXECUTIVE - LEGAL & SECRETARIAL,P1010,P1006,L1-LEVEL 1 (OFF TO AM),Sunil Desai,sunil.desai@xyzindustries.in
